RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  30    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   72  106     0     0  con    0  1.0E+00  3.5E-01  9.880E-02  1.013E-01
   73  107     0     0  con    0  1.0E+00  3.2E-01  2.180E-01  1.011E-01
   74  108     0     0  con    0  1.0E+00  2.7E+00  3.832E-01  1.003E-01
   75  109     0     0  con    0  1.0E+00  8.1E-02  9.253E-02  9.987E-02
   76  110     0     0  con    0  1.0E+00  2.6E+00  1.524E-01  9.922E-02
   77  112     0     0  con    1  4.9E-01  1.5E+00  1.265E-01  9.885E-02
   78  113     0     0  con    0  1.0E+00  1.6E+00  1.568E-01  9.821E-02
   79  115     0     0  con    1  4.0E-01  1.1E+00  4.045E-02  9.813E-02
   80  116     0     0  con    0  1.0E+00  2.0E+00  1.047E-01  9.774E-02
   81  117     0     0  con    0  1.0E+00  6.4E-01  1.311E-01  9.755E-02
   82  119     0     0  con    1  4.6E-01  9.9E-01  1.529E-01  9.745E-02
   83  121     0     0  con    1  1.6E-01  4.7E-01  1.388E-01  9.744E-02
   84  122     0     0  con    0  1.0E+00  8.0E-01  4.504E-02  9.737E-02
   85  123     0     0  con    0  1.0E+00  4.6E-01  1.240E-01  9.735E-02
   86  124     0     0  con    0  1.0E+00  5.8E-01  1.294E-01  9.729E-02
   87  126     0     0  con    1  7.0E-02  4.9E-01  1.924E-01  9.727E-02
   88  127     0     0  con    0  1.0E+00  1.9E-02  1.502E-01  9.724E-02
   89  128     0     0  con    0  1.0E+00  2.9E-01  1.086E-01  9.714E-02
